Fecha	PAH
7.54E+02	             NaN
7.55E+02	             NaN
7.56E+02	             NaN
7.57E+02	6.00
7.58E+02	             NaN
7.59E+02	             NaN
8.00E+02	             NaN
8.01E+02	             NaN
8.02E+02	             NaN
8.03E+02	             NaN
8.04E+02	             NaN
8.05E+02	8.00
8.06E+02	             NaN
8.07E+02	             NaN
8.08E+02	             NaN
8.09E+02	             NaN
8.10E+02	             NaN
8.11E+02	             NaN
8.12E+02	             NaN
8.13E+02	18.00
8.14E+02	             NaN
8.15E+02	             NaN
8.16E+02	             NaN
8.17E+02	             NaN
8.18E+02	             NaN
8.19E+02	             NaN
8.20E+02	             NaN
8.21E+02	10.00
8.22E+02	             NaN
8.23E+02	             NaN
8.24E+02	             NaN
8.25E+02	             NaN
8.26E+02	             NaN
8.27E+02	             NaN
8.28E+02	             NaN
8.29E+02	11.00
8.30E+02	             NaN
8.31E+02	             NaN
8.32E+02	             NaN
8.33E+02	             NaN
8.34E+02	             NaN
8.35E+02	             NaN
8.36E+02	             NaN
8.37E+02	             NaN
8.38E+02	             NaN
8.39E+02	             NaN
8.40E+02	             NaN
8.41E+02	             NaN
8.42E+02	             NaN
8.43E+02	             NaN
8.44E+02	             NaN
8.45E+02	             NaN
8.46E+02	             NaN
8.47E+02	             NaN
8.48E+02	             NaN
8.49E+02	             NaN
8.50E+02	             NaN
8.51E+02	             NaN
8.52E+02	             NaN
8.53E+02	11.00
8.54E+02	             NaN
8.55E+02	             NaN
8.56E+02	             NaN
8.57E+02	             NaN
8.58E+02	             NaN
8.59E+02	             NaN
9.00E+02	             NaN
9.01E+02	3.00
9.02E+02	             NaN
9.03E+02	             NaN
9.04E+02	             NaN
9.05E+02	             NaN
9.06E+02	             NaN
9.07E+02	             NaN
9.08E+02	             NaN
9.09E+02	3.00
9.10E+02	             NaN
9.11E+02	             NaN
9.12E+02	             NaN
9.13E+02	             NaN
9.14E+02	             NaN
9.15E+02	             NaN
9.16E+02	             NaN
9.17E+02	15.00
9.18E+02	             NaN
9.19E+02	             NaN
9.20E+02	             NaN
9.21E+02	             NaN
9.22E+02	             NaN
9.23E+02	             NaN
9.24E+02	             NaN
9.25E+02	7.00
9.26E+02	             NaN
9.27E+02	             NaN
9.28E+02	             NaN
9.29E+02	             NaN
9.30E+02	             NaN
9.31E+02	             NaN
9.32E+02	             NaN
9.33E+02	10.00
9.34E+02	             NaN
9.35E+02	             NaN
9.36E+02	             NaN
9.37E+02	             NaN
9.38E+02	             NaN
9.39E+02	             NaN
9.40E+02	             NaN
9.41E+02	8.00
9.42E+02	             NaN
9.43E+02	             NaN
9.44E+02	             NaN
9.45E+02	             NaN
9.46E+02	             NaN
9.47E+02	             NaN
9.48E+02	             NaN
9.49E+02	11.00
9.50E+02	             NaN
9.51E+02	             NaN
9.52E+02	             NaN
9.53E+02	             NaN
9.54E+02	             NaN
9.55E+02	             NaN
9.56E+02	             NaN
9.57E+02	             NaN
9.58E+02	             NaN
9.59E+02	             NaN
1.00E+03	             NaN
1.00E+03	             NaN
1.00E+03	             NaN
1.00E+03	             NaN
1.00E+03	             NaN
1.01E+03	15.00
1.01E+03	             NaN
1.01E+03	             NaN
1.01E+03	             NaN
1.01E+03	             NaN
1.01E+03	             NaN
1.01E+03	             NaN
1.01E+03	             NaN
1.01E+03	12.00
1.01E+03	             NaN
1.02E+03	             NaN
1.02E+03	             NaN
1.02E+03	             NaN
1.02E+03	             NaN
1.02E+03	             NaN
1.02E+03	             NaN
1.02E+03	8.00
1.02E+03	             NaN
1.02E+03	             NaN
1.02E+03	             NaN
1.03E+03	             NaN
1.03E+03	             NaN
1.03E+03	             NaN
1.03E+03	             NaN
1.03E+03	4.00
1.03E+03	             NaN
1.03E+03	             NaN
1.03E+03	             NaN
1.03E+03	             NaN
1.03E+03	             NaN
1.04E+03	             NaN
1.04E+03	             NaN
1.04E+03	2.00
1.04E+03	             NaN
1.04E+03	             NaN
1.04E+03	             NaN
1.04E+03	             NaN
1.04E+03	             NaN
1.04E+03	             NaN
1.04E+03	             NaN
1.05E+03	6.00
1.05E+03	             NaN
1.05E+03	             NaN
1.05E+03	             NaN
1.05E+03	             NaN
1.05E+03	             NaN
1.05E+03	             NaN
1.05E+03	             NaN
1.05E+03	             NaN
1.05E+03	             NaN
1.06E+03	             NaN
1.06E+03	             NaN
1.06E+03	             NaN
1.06E+03	             NaN
1.06E+03	             NaN
1.10E+03	             NaN
1.10E+03	             NaN
1.10E+03	3.00
1.10E+03	             NaN
1.10E+03	             NaN
1.11E+03	             NaN
1.11E+03	             NaN
1.11E+03	             NaN
1.11E+03	             NaN
1.11E+03	             NaN
1.11E+03	6.00
1.11E+03	             NaN
1.11E+03	             NaN
1.11E+03	             NaN
1.11E+03	             NaN
1.12E+03	             NaN
1.12E+03	             NaN
1.12E+03	             NaN
1.12E+03	18.00
1.12E+03	             NaN
1.12E+03	             NaN
1.12E+03	             NaN
1.12E+03	             NaN
1.12E+03	             NaN
1.12E+03	             NaN
1.12E+03	             NaN
1.13E+03	9.00
1.13E+03	             NaN
1.13E+03	             NaN
1.13E+03	             NaN
1.13E+03	             NaN
1.13E+03	             NaN
1.13E+03	             NaN
