start	MASA
22/04/2017 14:40	13.70204
22/04/2017 14:50	12.1429
22/04/2017 14:59	11.73326
22/04/2017 15:09	8.89504
22/04/2017 15:18	7.4195
22/04/2017 15:28	6.28254
22/04/2017 15:37	6.02338
22/04/2017 15:47	5.32114
22/04/2017 15:57	4.9533
22/04/2017 16:06	4.41826
22/04/2017 16:16	4.91986
22/04/2017 16:25	4.14656
22/04/2017 16:35	4.38064
22/04/2017 16:44	4.46842
22/04/2017 16:54	4.00444
22/04/2017 17:04	3.21024
22/04/2017 17:13	3.84142
22/04/2017 17:23	3.13918
22/04/2017 17:32	3.22278
22/04/2017 17:42	3.6575
22/04/2017 17:51	3.1141
22/04/2017 18:01	3.46104
22/04/2017 18:11	2.9469
22/04/2017 18:20	2.47038
22/04/2017 18:30	2.71282
22/04/2017 18:39	3.2604
22/04/2017 18:49	2.99706
22/04/2017 18:58	3.2604
22/04/2017 19:08	2.65848
22/04/2017 19:18	3.88322
22/04/2017 19:27	3.41088
22/04/2017 19:37	3.29384
22/04/2017 19:46	4.35556
22/04/2017 19:56	3.08484
22/04/2017 20:05	3.344
22/04/2017 20:15	3.36908
22/04/2017 20:25	3.135
22/04/2017 20:34	2.85076
22/04/2017 20:44	2.89674
22/04/2017 20:53	4.2009
22/04/2017 21:03	3.67004
22/04/2017 21:12	4.2009
22/04/2017 21:22	3.6993
22/04/2017 21:32	3.32728
22/04/2017 21:41	3.553
22/04/2017 21:51	4.06296
22/04/2017 22:00	4.29704
22/04/2017 22:10	4.41826
22/04/2017 22:19	5.0578
22/04/2017 22:29	4.79864
22/04/2017 22:39	3.67004
22/04/2017 22:48	3.71184
22/04/2017 22:58	4.3263
22/04/2017 23:07	3.3231
22/04/2017 23:17	4.21344
22/04/2017 23:26	4.38482
22/04/2017 23:36	3.17262
22/04/2017 23:46	3.49448
22/04/2017 23:55	3.75782
23/04/2017 00:05	3.59898
23/04/2017 00:14	4.97002
23/04/2017 00:24	5.7475
23/04/2017 00:33	4.389
23/04/2017 00:43	4.18
23/04/2017 00:53	2.85076
23/04/2017 01:06	4.46424
23/04/2017 01:16	2.2572
23/04/2017 01:25	3.33982
23/04/2017 01:35	3.55718
23/04/2017 01:44	3.26458
23/04/2017 01:54	3.762
23/04/2017 02:03	3.47776
23/04/2017 02:13	3.7829
23/04/2017 02:23	3.46522
23/04/2017 02:32	3.79544
23/04/2017 02:42	2.95526
23/04/2017 02:51	3.17262
23/04/2017 03:01	2.8215
23/04/2017 03:10	3.07648
23/04/2017 03:20	2.93018
23/04/2017 03:30	3.3858
23/04/2017 03:39	3.91248
23/04/2017 03:49	3.42342
23/04/2017 03:58	3.2813
23/04/2017 04:08	2.95108
23/04/2017 04:17	3.29802
23/04/2017 04:27	3.70348
23/04/2017 04:37	4.0755
23/04/2017 04:46	6.1028
23/04/2017 04:56	6.81758
23/04/2017 05:05	6.78414
23/04/2017 05:15	7.4195
23/04/2017 05:24	8.0883
23/04/2017 05:34	5.42982
23/04/2017 05:44	4.83208
23/04/2017 05:53	5.04526
23/04/2017 06:03	4.25942
23/04/2017 06:12	4.56456
23/04/2017 06:22	5.77258
23/04/2017 06:31	6.47064
23/04/2017 06:41	7.52818
23/04/2017 06:51	9.16674
23/04/2017 07:00	9.76448
23/04/2017 07:10	9.83136
23/04/2017 07:19	8.29312
23/04/2017 07:29	15.91326
23/04/2017 07:38	12.0802
23/04/2017 07:48	8.13846
23/04/2017 07:58	4.43916
23/04/2017 08:07	3.70348
23/04/2017 08:17	3.81216
23/04/2017 08:26	3.0723
23/04/2017 08:36	3.08902
23/04/2017 08:45	3.0723
23/04/2017 08:55	3.0723
23/04/2017 09:05	2.11508
23/04/2017 09:14	2.34916
23/04/2017 09:24	2.20286
23/04/2017 09:33	2.72954
23/04/2017 09:43	1.90608
23/04/2017 09:52	1.47136
23/04/2017 10:02	2.24466
23/04/2017 10:12	1.41702
23/04/2017 10:21	1.98968
23/04/2017 10:31	2.9051
23/04/2017 10:40	2.21958
23/04/2017 10:50	2.48292
23/04/2017 10:59	1.14114
23/04/2017 11:09	1.2958
23/04/2017 11:19	1.88936
23/04/2017 11:28	1.73888
23/04/2017 11:38	1.85174
23/04/2017 11:47	1.39194
23/04/2017 11:57	1.62602
23/04/2017 12:06	2.16106
23/04/2017 12:16	2.53308
23/04/2017 12:26	2.20704
23/04/2017 12:35	3.5321
23/04/2017 12:45	1.74306
23/04/2017 12:54	1.74724
23/04/2017 13:04	2.00222
23/04/2017 13:13	2.18614
23/04/2017 13:23	4.49768
23/04/2017 13:33	2.62504
23/04/2017 13:42	3.35654
23/04/2017 13:52	3.09738
23/04/2017 14:01	6.97642
23/04/2017 14:11	4.1591
23/04/2017 14:20	4.0964
23/04/2017 14:30	6.8761
23/04/2017 14:40	4.45588
23/04/2017 14:49	5.52178
23/04/2017 14:59	7.49056
23/04/2017 15:08	7.30246
23/04/2017 15:18	7.13526
23/04/2017 15:27	8.67768
23/04/2017 15:37	5.02854
23/04/2017 15:47	4.0755
23/04/2017 15:56	4.53948
23/04/2017 16:06	3.17262
23/04/2017 16:15	3.93338
23/04/2017 16:25	3.18934
23/04/2017 16:34	3.13918
23/04/2017 16:44	2.18614
23/04/2017 16:54	2.22794
23/04/2017 17:03	2.49546
23/04/2017 17:13	2.72954
23/04/2017 17:22	2.47038
23/04/2017 17:32	1.88518
23/04/2017 17:41	2.6334
23/04/2017 17:51	2.78388
23/04/2017 18:00	1.80994
23/04/2017 18:10	1.65528
23/04/2017 18:20	1.90608
23/04/2017 18:29	1.86846
23/04/2017 18:39	2.14434
23/04/2017 18:48	2.14016
23/04/2017 18:58	3.16426
23/04/2017 19:07	2.31154
23/04/2017 19:17	1.78904
23/04/2017 19:27	2.42858
23/04/2017 19:36	2.56234
23/04/2017 19:46	3.51956
23/04/2017 19:55	3.14754
23/04/2017 20:05	4.77356
23/04/2017 20:14	5.1623
23/04/2017 20:24	4.25106
23/04/2017 20:34	5.25844
23/04/2017 20:43	3.14336
23/04/2017 20:53	3.68258
23/04/2017 21:02	4.23016
23/04/2017 21:12	2.54144
23/04/2017 21:21	3.75782
23/04/2017 21:31	3.39834
23/04/2017 21:41	6.4372
23/04/2017 21:50	4.89896
23/04/2017 22:00	5.90216
23/04/2017 22:09	4.389
23/04/2017 22:19	7.0224
23/04/2017 22:28	8.06322
23/04/2017 22:38	5.48416
23/04/2017 22:48	0
23/04/2017 22:48	5.50506
23/04/2017 22:57	4.41408
23/04/2017 23:07	4.81954
23/04/2017 23:16	4.76938
23/04/2017 23:26	5.40892
23/04/2017 23:36	4.90314
23/04/2017 23:45	4.11312
23/04/2017 23:55	3.69094
24/04/2017 00:04	4.53948
24/04/2017 00:14	5.6639
24/04/2017 00:23	3.81634
24/04/2017 00:33	3.21024
24/04/2017 00:43	3.54046
24/04/2017 00:52	4.16746
24/04/2017 01:06	4.35974
24/04/2017 01:16	5.12886
24/04/2017 01:26	4.12148
24/04/2017 01:35	4.4099
24/04/2017 01:45	3.76618
24/04/2017 01:54	3.70766
24/04/2017 02:04	3.64914
24/04/2017 02:13	3.77454
24/04/2017 02:23	3.34818
24/04/2017 02:33	3.58226
24/04/2017 02:42	3.96264
24/04/2017 02:52	3.135
24/04/2017 03:01	3.13918
24/04/2017 03:11	2.9469
24/04/2017 03:20	3.27294
24/04/2017 03:30	3.10992
24/04/2017 03:40	2.717
24/04/2017 03:49	3.23532
24/04/2017 03:59	3.16008
24/04/2017 04:08	3.18098
24/04/2017 04:18	3.43596
24/04/2017 04:27	4.4935
24/04/2017 04:37	5.19992
24/04/2017 04:47	6.21566
24/04/2017 04:56	7.62432
24/04/2017 05:06	10.659
24/04/2017 05:15	10.71752
24/04/2017 05:25	9.65162
24/04/2017 05:34	19.84246
24/04/2017 05:44	16.62386
24/04/2017 05:54	14.26216
24/04/2017 06:03	17.06276
24/04/2017 06:13	16.70746
24/04/2017 06:22	13.58918
24/04/2017 06:32	18.08686
24/04/2017 06:41	22.37136
24/04/2017 06:51	23.09868
24/04/2017 07:01	39.5219
24/04/2017 07:10	43.054
24/04/2017 07:20	39.30872
24/04/2017 07:29	29.25582
24/04/2017 07:39	24.82502
24/04/2017 07:48	26.94846
24/04/2017 07:58	26.19188
24/04/2017 08:08	33.6072
24/04/2017 08:17	38.51034
24/04/2017 08:27	28.62882
24/04/2017 08:36	18.27914
24/04/2017 08:46	19.72124
24/04/2017 08:55	15.37822
24/04/2017 09:05	12.58598
24/04/2017 09:15	12.48148
24/04/2017 09:24	5.00764
24/04/2017 09:34	4.58546
24/04/2017 09:43	4.29286
24/04/2017 09:53	4.8488
24/04/2017 10:02	4.94912
24/04/2017 10:12	3.79126
24/04/2017 10:22	3.94174
24/04/2017 10:31	3.8874
24/04/2017 10:41	4.5144
24/04/2017 10:50	4.35138
24/04/2017 11:00	5.75168
24/04/2017 11:09	4.73594
24/04/2017 11:19	7.3777
24/04/2017 11:29	3.29802
24/04/2017 11:38	4.3263
24/04/2017 11:48	3.135
24/04/2017 11:57	3.19352
24/04/2017 12:07	2.86748
24/04/2017 12:16	2.61668
24/04/2017 12:26	2.11508
24/04/2017 12:36	2.13598
24/04/2017 12:45	3.59062
24/04/2017 12:55	2.78806
24/04/2017 13:04	2.87166
24/04/2017 13:14	2.84658
24/04/2017 13:23	3.95846
24/04/2017 13:33	3.0514
24/04/2017 13:43	3.07648
24/04/2017 13:52	2.51218
24/04/2017 14:02	2.56234
24/04/2017 14:11	2.71282
24/04/2017 14:21	3.5948
24/04/2017 14:30	4.33466
24/04/2017 14:40	2.43276
24/04/2017 14:50	3.27294
24/04/2017 14:59	2.92182
24/04/2017 15:09	2.62504
24/04/2017 15:18	2.14434
24/04/2017 15:28	2.08164
24/04/2017 15:37	3.3858
24/04/2017 15:47	2.89256
24/04/2017 15:57	2.49128
24/04/2017 16:06	1.88936
24/04/2017 16:16	2.03984
24/04/2017 16:25	1.87264
24/04/2017 16:35	2.44948
24/04/2017 16:44	2.11508
24/04/2017 16:54	2.47456
24/04/2017 17:04	1.91444
24/04/2017 17:13	2.14852
24/04/2017 17:23	1.95206
24/04/2017 17:32	2.63758
24/04/2017 17:42	2.30318
24/04/2017 17:51	3.4485
24/04/2017 18:01	1.9646
24/04/2017 18:11	2.4453
24/04/2017 18:20	0
24/04/2017 18:20	2.14016
24/04/2017 18:30	3.10992
24/04/2017 18:39	1.91862
24/04/2017 18:49	2.90092
24/04/2017 18:58	2.3408
24/04/2017 19:08	2.08164
24/04/2017 19:18	2.67102
24/04/2017 19:27	2.82986
24/04/2017 19:37	4.45588
24/04/2017 19:46	2.74208
24/04/2017 19:56	3.35236
24/04/2017 20:05	2.96362
24/04/2017 20:15	2.21958
24/04/2017 20:25	1.83502
24/04/2017 20:34	2.86748
24/04/2017 20:44	4.4099
24/04/2017 20:53	4.21762
24/04/2017 21:03	3.9292
24/04/2017 21:12	4.37646
24/04/2017 21:22	3.9083
24/04/2017 21:32	2.14852
24/04/2017 21:41	3.25622
24/04/2017 21:51	3.33564
24/04/2017 22:00	3.19352
24/04/2017 22:10	3.2604
