NaN	NaN	4.16	4.87	8.63	NaN	9.9	NaN	13.73	NaN	11.22	NaN
NaN	12.45	NaN	NaN	17.47	NaN	16.7	NaN	21.75	NaN	NaN	10.23
NaN	4.85	4.49	5.67	18.12	5.35	13.81	NaN	19.79	6.91	9.41	10.24
NaN	7.59	4.38	6.88	8.31	6.01	16.73	NaN	19.49	9.28	4.84	NaN
14.52	NaN	7	NaN	11.57	8.51	18.75	NaN	20.44	NaN	8.24	NaN
17.38	10.18	4.61	5.55	14.56	6.5	19.98	NaN	15.97	16.97	NaN	6.57
7.99	NaN	NaN	NaN	38.58	8.92	17.16	NaN	21.52	18.63	7.16	NaN
6.17	NaN	NaN	11.01	29.7	6.14	17.35	NaN	18.16	10.36	NaN	NaN
NaN	9.51	4.87	9.84	21.46	8.19	18.61	10.66	10.51	16.4	NaN	6.12
6.74	5.52	NaN	14.72	17.18	5.08	18.24	NaN	11.79	12.01	4.28	6.17
NaN	NaN	NaN	12.08	10.29	9.28	18.47	5.69	15.2	11.76	9	NaN
NaN	5.17	7.31	7.36	6.08	8.25	23.66	8.93	26.83	15.4	9.76	7.56
7.12	6.77	10.75	4.26	NaN	9.62	21.98	10.49	25.56	9.76	10.55	8.49
5.9	NaN	9.55	NaN	9.35	9.11	18.44	15.51	31.77	14.27	19.69	12.2
6.56	11.61	12.12	14.19	16.07	8.15	19.29	15.57	28.43	10.68	NaN	15.67
5.35	10.18	7.07	9.19	12.14	11.59	14.71	12.13	31.81	15.84	7.82	NaN
NaN	4.7	6.7	9.48	10.38	6.11	16.32	7.69	24.49	6.82	NaN	5.44
6.22	7.3	6.62	10.92	19.76	4.95	16.41	17.32	33.67	NaN	5.33	NaN
6.81	NaN	NaN	5.01	8.64	7.16	14.49	7.65	17.54	6.97	NaN	NaN
6.97	NaN	7.63	NaN	9.07	5.01	17.92	NaN	20.99	6.39	7.58	6.49
4.29	NaN	12	12.13	10.54	4.14	20.2	15.37	22.25	5.38	6.19	6.1
NaN	5.55	11.83	NaN	NaN	NaN	7.05	NaN	18.83	NaN	NaN	4.45
NaN	NaN	6.79	NaN	NaN	NaN	4.52	NaN	21.55	NaN	8.3	NaN
6.41	NaN	9.12	NaN	NaN	4.45	4.16	NaN	17.28	NaN	8.43	7.89
NaN	4.47	8.17	5.65	4.22	NaN	7.77	5.83	15.65	NaN	6.41	NaN
5.42	NaN	8.64	NaN	4.65	5.51	7.11	5.15	13.31	4.84	4.06	8.34
NaN	10.9	9.59	NaN	4.54	NaN	9.85	NaN	20.89	NaN	5.85	NaN
7.2	5.6	5.07	5.64	NaN	8.7	9.82	9.35	15.33	8.94	6.03	NaN
5.43	7.63	7.06	NaN	NaN	5.87	12.51	4.73	17.43	8.13	NaN	NaN
20.39	6.76	8.79	6.58	NaN	5.91	8.55	8.24	15.81	10.27	NaN	NaN
16.23	15.59	8.45	6.43	NaN	NaN	8.77	9.13	16.62	9.27	NaN	NaN
