start	SUMA
04/06/2017 18:10	2515
04/06/2017 18:20	1848
04/06/2017 18:29	1448
04/06/2017 18:39	1639
04/06/2017 18:49	2015
04/06/2017 18:58	1900
04/06/2017 19:08	2001
04/06/2017 19:17	2198
04/06/2017 19:27	2051
04/06/2017 19:36	1841
04/06/2017 19:46	2233
04/06/2017 19:56	1907
04/06/2017 20:05	2165
04/06/2017 20:15	1865
04/06/2017 20:24	1770
04/06/2017 20:34	2651
04/06/2017 20:43	3275
04/06/2017 20:53	2681
04/06/2017 21:03	3226
04/06/2017 21:12	3256
04/06/2017 21:22	3890
04/06/2017 21:31	4308
04/06/2017 21:41	3868
04/06/2017 21:50	3862
04/06/2017 22:00	3522
04/06/2017 22:09	3630
04/06/2017 22:19	3274
04/06/2017 22:29	2890
04/06/2017 22:38	2655
04/06/2017 22:48	2625
04/06/2017 22:57	2017
04/06/2017 23:07	2427
04/06/2017 23:16	2046
04/06/2017 23:26	2280
04/06/2017 23:36	2567
04/06/2017 23:45	2245
04/06/2017 23:55	1725
